Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,Stopwords_Removed_Principle,Stopwords_Removed_Indian_Position,number_of_words_stopwords_removed_Principle,number_of_words_stopwords_removed_Indian_Position
2.1.8,"In many countries, comprehensive accounting guidance is available on the presentation and disclosure of information about financial performance. Authoritative guidance has been issued by legislators, regulators, and national and international accounting standard-setters, and should be referenced to identify appropriate disclosures and to gain an understanding of why they are useful.","In India, the ICAI guidelines on bank audit, which covers aspects of presentation and disclosure of financial information, is being followed. RBI has stipulated standards of disclosure from time to time based on international best practices.",The levels of disclosure in the balance sheets of Indian banks can be improved further. Areas of disclosure have been indicated above. Efforts have to be made to come close to internationally followed standards of disclosure within the next two years.,2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,50,36,"In many countries, comprehensive accounting guidance is available on the presentation and disclosure of information about financial performance. Authoritative guidance has been issued by legislators, regulators, and national and international accounting standard-setters, and should be referenced to identify appropriate disclosures and to gain an understanding of why they are useful.","In India, the ICAI guidelines on bank audit, which covers aspects of presentation and disclosure of financial information, is being followed. RBI has stipulated standards of disclosure from time to time based on international best practices.","In many countries, comprehensive accounting guidance available on presentation and disclosure information about financial performance. Authoritative guidance issued legislators, regulators, and national and international accounting standard-setters, and should referenced identify appropriate disclosures and gain understanding why they useful.","In India, ICAI guidelines on bank audit, covers aspects presentation and disclosure financial information, being followed. RBI stipulated standards disclosure from time time based on international best practices.",38,28
2.2.1,"Market participants and supervisors need information about the financial position of an institution. Information about the financial position of a bank is useful in predicting the ability of the enterprise to meet its liabilities and financial commitments as they fall due. Information about the nature and amount of assets, liabilities, commitments, contingent liabilities, and shareholders’ funds, both at points in time and averages over periods, including their maturity and repricing structure, is useful for assessing a bank’s liquidity and solvency, and ultimately its financial strength, and the trends therein.","Information about the nature and amount of assets, liabilities, commitments, contingent liabilities and shareholders’ funds are furnished in the financial statements and in notes to the accounts.",Information detailing maturity and repricing structure of all assets and liabilities should form part of the mandatory disclosure.,"2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,89,27,"Market participants and supervisors need information about the financial position of an institution. Information about the financial position of a bank is useful in predicting the ability of the enterprise to meet its liabilities and financial commitments as they fall due. Information about the nature and amount of assets, liabilities, commitments, contingent liabilities, and shareholders’ funds, both at points in time and averages over periods, including their maturity and repricing structure, is useful for assessing a bank’s liquidity and solvency, and ultimately its financial strength, and the trends therein.","Information about the nature and amount of assets, liabilities, commitments, contingent liabilities and shareholders’ funds are furnished in the financial statements and in notes to the accounts.","Market participants and supervisors need information about financial position institution. Information about financial position bank useful predicting ability enterprise meet its liabilities and financial commitments as they fall due. Information about nature and amount assets, liabilities, commitments, contingent liabilities, and shareholders’ funds, both points time and averages over periods, including their maturity and repricing structure, useful assessing bank’s liquidity and solvency, and ultimately its financial strength, and trends therein.","Information about nature and amount assets, liabilities, commitments, contingent liabilities and shareholders’ funds furnished financial statements and notes accounts.",69,19
2.2.2,Information about institutions’ provisions and allowances for losses and how these provisions and allowances are determined is important in assessing an institution’s ability to withstand losses.,"Charge of loan loss provisions made during the year and the basis of provisioning are now being disclosed. However, as yet cumulative provisions held against loan losses and movement in provisions are not being disclosed.",These disclosures should be made mandatory.,"2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,26,35,Information about institutions’ provisions and allowances for losses and how these provisions and allowances are determined is important in assessing an institution’s ability to withstand losses.,"Charge of loan loss provisions made during the year and the basis of provisioning are now being disclosed. However, as yet cumulative provisions held against loan losses and movement in provisions are not being disclosed.",Information about institutions’ provisions and allowances losses and how these provisions and allowances determined important assessing institution’s ability withstand losses.,"Charge loan loss provisions made during year and basis provisioning now being disclosed. However, as yet cumulative provisions held against loan losses and movement provisions not being disclosed.",20,28
2.2.3,"To assess an institution’s financial position, it is essential to have a breakdown of assets and liabilities, and equity capital by type. Information on financial position typically includes a balance sheet that distinguishes different types of assets, liabilities and sources of equity capital. The balance sheet usually includes separate items for loans, trading securities, investment securities, tangible fixed assets (e.g., real estate), intangible fixed assets (e.g., goodwill), short-term debt and long-term debt.",Breakdown of assets and liabilities and equity capital by type and their distribution is given in the balance sheet. Information on securities held as investments and for the purposes of trading is also given separately. The format of balance sheet of banks provides for adequate breakdowns on both assets and liabilities sides.,,"2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,72,52,"To assess an institution’s financial position, it is essential to have a breakdown of assets and liabilities, and equity capital by type. Information on financial position typically includes a balance sheet that distinguishes different types of assets, liabilities and sources of equity capital. The balance sheet usually includes separate items for loans, trading securities, investment securities, tangible fixed assets, intangible fixed assets, short-term debt and long-term debt.",Breakdown of assets and liabilities and equity capital by type and their distribution is given in the balance sheet. Information on securities held as investments and for the purposes of trading is also given separately. The format of balance sheet of banks provides for adequate breakdowns on both assets and liabilities sides.,"To assess institution’s financial position, essential have breakdown assets and liabilities, and equity capital type. Information on financial position typically includes balance sheet that distinguishes different types assets, liabilities and sources equity capital. The balance sheet usually includes separate items loans, trading securities, investment securities, tangible fixed assets, intangible fixed assets, short-term debt and long-term debt.",Breakdown assets and liabilities and equity capital type and their distribution given balance sheet. Information on securities held as investments and purposes trading also given separately. The format balance sheet banks provides adequate breakdowns on both assets and liabilities sides.,56,40
2.2.4,"Disclosure of off-balance sheet items may include information about notional amounts and fair values or replacement values of off-balance sheet transactions, and about commitments and contingent liabilities.",Commitments and contingent liabilities are being disclosed in the balance sheet.,"Full disclosures with notional values and fair value of off-balance sheet transactions, commitments and contingent liabilities should be disclosed.","2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,27,11,"Disclosure of off-balance sheet items may include information about notional amounts and fair values or replacement values of off-balance sheet transactions, and about commitments and contingent liabilities.",Commitments and contingent liabilities are being disclosed in the balance sheet.,"Disclosure off-balance sheet items may include information about notional amounts and fair values or replacement values off-balance sheet transactions, and about commitments and contingent liabilities.",Commitments and contingent liabilities being disclosed balance sheet.,25,8
2.2.5,"In notes to the balance sheet, additional information about the items in the balance sheet which is relevant to the needs of users may also be provided, e.g., fair value (trading account, loans, deposits, others).",Notes to consolidated balance sheet and income statements contain additional information relevant to users.,,"2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,35,14,"In notes to the balance sheet, additional information about the items in the balance sheet which is relevant to the needs of users may also be provided, e.g., fair value.",Notes to consolidated balance sheet and income statements contain additional information relevant to users.,"In notes balance sheet, additional information about items balance sheet relevant needs users may also provided, e.g., fair value.",Notes consolidated balance sheet and income statements contain additional information relevant users.,19,12
2.2.6,"Information about regulatory capital and its components is important in analysing the financial position of a bank (Tier 1, Tier 2, Tier 3 – if applicable, risk-weighted assets, risk-based capital ratio), as well as information about equity capital (e.g., debt-to-equity ratio, restrictions on distributions). Information about the changes in the amount and types of capital, including the impact of earnings, dividends and capital issuances, is important in assessing the cushion available to absorb future potential losses and for the bank’s ability to sustain growth over the near term. Management’s discussion and analysis of a bank’s financial position and changes therein, help the market better understand and form expectations based on them.","In India information is being furnished on regulatory capital (Tier-I & Tier-II) but details of risk weighted assets, leverage ratio, restrictions on distributions, including the impact on earnings, etc., are not being furnished uniformly.","Disclosures relating to management of risks by banks such as calculation of capital requirements for credit risk, capital requirement for market risk and data relating to broad values at risk, stress/ back testing information will have to be broadly introduced in banks’ balance sheets. Alongside disclosures on capital allocation, future capital plans will also have to be disclosed. It should be possible for banks to begin providing these disclosures in two to three years time by when it can be made mandatory.","2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,111,34,"Information about regulatory capital and its components is important in analysing the financial position of a bank, as well as information about equity capital. Information about the changes in the amount and types of capital, including the impact of earnings, dividends and capital issuances, is important in assessing the cushion available to absorb future potential losses and for the bank’s ability to sustain growth over the near term. Management’s discussion and analysis of a bank’s financial position and changes therein, help the market better understand and form expectations based on them.","In India information is being furnished on regulatory capital but details of risk weighted assets, leverage ratio, restrictions on distributions, including the impact on earnings, etc., are not being furnished uniformly.","Information about regulatory capital and its components important analysing financial position bank, as well as information about equity capital. Information about changes amount and types capital, including impact earnings, dividends and capital issuances, important assessing cushion available absorb future potential losses and bank’s ability sustain growth over near term. Management’s discussion and analysis bank’s financial position and changes therein, help market better understand and form expectations based on them.","In India information being furnished on regulatory capital but details risk weighted assets, leverage ratio, restrictions on distributions, including impact on earnings, etc., not being furnished uniformly.",69,27
2.2.7,"Information about the nature and amount of assets pledged as collateral, e.g., to support deposits, other liabilities and commitments, and the amount of secured liabilities is useful in assessing the financial position of a bank and, in particular, the collectibility of claims on the bank in case of its liquidation.",Banks in India do not accept collateralised deposits or any other such liabilities or commitments.,"Where there are occasions of the bank having availed of collateralised lines for managing their liquidity, the details should be provided.","2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,50,15,"Information about the nature and amount of assets pledged as collateral, e.g., to support deposits, other liabilities and commitments, and the amount of secured liabilities is useful in assessing the financial position of a bank and, in particular, the collectibility of claims on the bank in case of its liquidation.",Banks in India do not accept collateralised deposits or any other such liabilities or commitments.,"Information about nature and amount assets pledged as collateral, e.g., support deposits, other liabilities and commitments, and amount secured liabilities useful assessing financial position bank and, particular, collectibility claims on bank case its liquidation.",Banks India do not accept collateralised deposits or any other liabilities or commitments.,34,13
2.2.8,"As with guidance on presentation and disclosure of financial performance, comprehensive accounting guidance on the presentation and disclosure of information about financial position is available in many countries. Authoritative guidance has been issued by legislators, regulators, and national and international accounting standard-setters.",Guidance on presentation of statement representing financial position (balance sheet) is prescribed by Section 29 of the Banking Regulation Act. Disclosure requirements are also being prescribed by the regulator from time to time.,"RBI may consider issuing comprehensive guidelines on necessary disclosures in a banks balance sheet. Since disclosures in India are still in an evolutionary stage and additional disclosures are being added to the disclosure requirements, it would also be desirable to update these guidelines from time to time until the Indian disclosures fully match international standards in this regard. Initially, updating of these guidelines may be undertaken at shorter, say, annual intervals. A coordinated approach between the ICAI and the RBI may be adopted for this purpose.","2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,42,33,"As with guidance on presentation and disclosure of financial performance, comprehensive accounting guidance on the presentation and disclosure of information about financial position is available in many countries. Authoritative guidance has been issued by legislators, regulators, and national and international accounting standard-setters.",Guidance on presentation of statement representing financial position is prescribed by Section 29 of the Banking Regulation Act. Disclosure requirements are also being prescribed by the regulator from time to time.,"As with guidance on presentation and disclosure financial performance, comprehensive accounting guidance on presentation and disclosure information about financial position available many countries. Authoritative guidance issued legislators, regulators, and national and international accounting standard-setters.",Guidance on presentation statement representing financial position prescribed Section 29 Banking Regulation Act. Disclosure requirements also being prescribed regulator from time time.,34,22
2.3.1,Market participants and supervisors need information about a bank’s management strategies and policies for managing and controlling risks. Risk management is a key factor in assessing the future performance and condition of a bank and the effectiveness of management.,Directors’ report or management report forming part of the annual report contain information on bank’s management strategies.,,2.0 Details in disclosure 2.3 Risk Management strategies and practices,Enhancing Bank Transparency,39,17,Market participants and supervisors need information about a bank’s management strategies and policies for managing and controlling risks. Risk management is a key factor in assessing the future performance and condition of a bank and the effectiveness of management.,Directors’ report or management report forming part of the annual report contain information on bank’s management strategies.,Market participants and supervisors need information about bank’s management strategies and policies managing and controlling risks. Risk management key factor assessing future performance and condition bank and effectiveness management.,Directors’ report or management report forming part annual report contain information on bank’s management strategies.,29,15
2.3.2,"Disclosures may include discussions of overall risk management philosophy, overall policy and methodologies, how risks arise, how risks are managed and controlled, and whether and how derivatives are used to manage risks. It may also be useful to discuss the risk management structure and risk measurement and monitoring (e.g., models, value-at-risk, simulation, credit scoring, capital allocation, etc.), monitoring process, model validation process, stress testing, back testing, the use of risk-mitigating tools (collateral/guarantees, netting agreements, managing concentrations), limits (e.g., credit limits, market risk limits), and periodic review of exposures.","Although risk management is a rather recent concept, bank managements are gearing themselves suitably to be in a position to furnish in their annual reports details of their risk management philosophy, strategies and methodologies.","More disclosures on risk management are essential. Banks will have to take steps so that even before they start making detailed analytical disclosures about their risk management arrangements, they begin disclosing details about risk mitigating tools being used by them, limits, exposure to banks, commercial and government entities, international exposures, subordinate assets, classification of exposures and information about types of counter-parties.",2.0 Details in disclosure 2.3 Risk Management strategies and practices,Enhancing Bank Transparency,88,34,"Disclosures may include discussions of overall risk management philosophy, overall policy and methodologies, how risks arise, how risks are managed and controlled, and whether and how derivatives are used to manage risks. It may also be useful to discuss the risk management structure and risk measurement and monitoring, monitoring process, model validation process, stress testing, back testing, the use of risk-mitigating tools, limits, and periodic review of exposures.","Although risk management is a rather recent concept, bank managements are gearing themselves suitably to be in a position to furnish in their annual reports details of their risk management philosophy, strategies and methodologies.","Disclosures may include discussions overall risk management philosophy, overall policy and methodologies, how risks arise, how risks managed and controlled, and whether and how derivatives used manage risks. It may also useful discuss risk management structure and risk measurement and monitoring, monitoring process, model validation process, stress testing, back testing, use risk-mitigating tools, limits, and periodic review exposures.","Although risk management rather recent concept, bank managements gearing themselves suitably position furnish their annual reports details their risk management philosophy, strategies and methodologies.",58,24
