Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,number_of_words_pattern_removed_Principle,number_of_words_pattern_removed_Indian_Position
2.1.8,"In many countries, comprehensive accounting guidance is available on the presentation and disclosure of information about financial performance. Authoritative guidance has been issued by legislators, regulators, and national and international accounting standard-setters, and should be referenced to identify appropriate disclosures and to gain an understanding of why they are useful.","In India, the ICAI guidelines on bank audit, which covers aspects of presentation and disclosure of financial information, is being followed. RBI has stipulated standards of disclosure from time to time based on international best practices.",The levels of disclosure in the balance sheets of Indian banks can be improved further. Areas of disclosure have been indicated above. Efforts have to be made to come close to internationally followed standards of disclosure within the next two years.,2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,50,36,"In many countries, comprehensive accounting guidance is available on the presentation and disclosure of information about financial performance. Authoritative guidance has been issued by legislators, regulators, and national and international accounting standard-setters, and should be referenced to identify appropriate disclosures and to gain an understanding of why they are useful.","In India, the ICAI guidelines on bank audit, which covers aspects of presentation and disclosure of financial information, is being followed. RBI has stipulated standards of disclosure from time to time based on international best practices.",50,36
2.2.1,"Market participants and supervisors need information about the financial position of an institution. Information about the financial position of a bank is useful in predicting the ability of the enterprise to meet its liabilities and financial commitments as they fall due. Information about the nature and amount of assets, liabilities, commitments, contingent liabilities, and shareholders’ funds, both at points in time and averages over periods, including their maturity and repricing structure, is useful for assessing a bank’s liquidity and solvency, and ultimately its financial strength, and the trends therein.","Information about the nature and amount of assets, liabilities, commitments, contingent liabilities and shareholders’ funds are furnished in the financial statements and in notes to the accounts.",Information detailing maturity and repricing structure of all assets and liabilities should form part of the mandatory disclosure.,"2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,89,27,"Market participants and supervisors need information about the financial position of an institution. Information about the financial position of a bank is useful in predicting the ability of the enterprise to meet its liabilities and financial commitments as they fall due. Information about the nature and amount of assets, liabilities, commitments, contingent liabilities, and shareholders’ funds, both at points in time and averages over periods, including their maturity and repricing structure, is useful for assessing a bank’s liquidity and solvency, and ultimately its financial strength, and the trends therein.","Information about the nature and amount of assets, liabilities, commitments, contingent liabilities and shareholders’ funds are furnished in the financial statements and in notes to the accounts.",89,27
2.2.2,Information about institutions’ provisions and allowances for losses and how these provisions and allowances are determined is important in assessing an institution’s ability to withstand losses.,"Charge of loan loss provisions made during the year and the basis of provisioning are now being disclosed. However, as yet cumulative provisions held against loan losses and movement in provisions are not being disclosed.",These disclosures should be made mandatory.,"2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,26,35,Information about institutions’ provisions and allowances for losses and how these provisions and allowances are determined is important in assessing an institution’s ability to withstand losses.,"Charge of loan loss provisions made during the year and the basis of provisioning are now being disclosed. However, as yet cumulative provisions held against loan losses and movement in provisions are not being disclosed.",26,35
2.2.3,"To assess an institution’s financial position, it is essential to have a breakdown of assets and liabilities, and equity capital by type. Information on financial position typically includes a balance sheet that distinguishes different types of assets, liabilities and sources of equity capital. The balance sheet usually includes separate items for loans, trading securities, investment securities, tangible fixed assets (e.g., real estate), intangible fixed assets (e.g., goodwill), short-term debt and long-term debt.",Breakdown of assets and liabilities and equity capital by type and their distribution is given in the balance sheet. Information on securities held as investments and for the purposes of trading is also given separately. The format of balance sheet of banks provides for adequate breakdowns on both assets and liabilities sides.,,"2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,72,52,"To assess an institution’s financial position, it is essential to have a breakdown of assets and liabilities, and equity capital by type. Information on financial position typically includes a balance sheet that distinguishes different types of assets, liabilities and sources of equity capital. The balance sheet usually includes separate items for loans, trading securities, investment securities, tangible fixed assets, intangible fixed assets, short-term debt and long-term debt.",Breakdown of assets and liabilities and equity capital by type and their distribution is given in the balance sheet. Information on securities held as investments and for the purposes of trading is also given separately. The format of balance sheet of banks provides for adequate breakdowns on both assets and liabilities sides.,67,52
2.2.4,"Disclosure of off-balance sheet items may include information about notional amounts and fair values or replacement values of off-balance sheet transactions, and about commitments and contingent liabilities.",Commitments and contingent liabilities are being disclosed in the balance sheet.,"Full disclosures with notional values and fair value of off-balance sheet transactions, commitments and contingent liabilities should be disclosed.","2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,27,11,"Disclosure of off-balance sheet items may include information about notional amounts and fair values or replacement values of off-balance sheet transactions, and about commitments and contingent liabilities.",Commitments and contingent liabilities are being disclosed in the balance sheet.,27,11
2.2.5,"In notes to the balance sheet, additional information about the items in the balance sheet which is relevant to the needs of users may also be provided, e.g., fair value (trading account, loans, deposits, others).",Notes to consolidated balance sheet and income statements contain additional information relevant to users.,,"2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,35,14,"In notes to the balance sheet, additional information about the items in the balance sheet which is relevant to the needs of users may also be provided, e.g., fair value.",Notes to consolidated balance sheet and income statements contain additional information relevant to users.,30,14
2.2.6,"Information about regulatory capital and its components is important in analysing the financial position of a bank (Tier 1, Tier 2, Tier 3 – if applicable, risk-weighted assets, risk-based capital ratio), as well as information about equity capital (e.g., debt-to-equity ratio, restrictions on distributions). Information about the changes in the amount and types of capital, including the impact of earnings, dividends and capital issuances, is important in assessing the cushion available to absorb future potential losses and for the bank’s ability to sustain growth over the near term. Management’s discussion and analysis of a bank’s financial position and changes therein, help the market better understand and form expectations based on them.","In India information is being furnished on regulatory capital (Tier-I & Tier-II) but details of risk weighted assets, leverage ratio, restrictions on distributions, including the impact on earnings, etc., are not being furnished uniformly.","Disclosures relating to management of risks by banks such as calculation of capital requirements for credit risk, capital requirement for market risk and data relating to broad values at risk, stress/ back testing information will have to be broadly introduced in banks’ balance sheets. Alongside disclosures on capital allocation, future capital plans will also have to be disclosed. It should be possible for banks to begin providing these disclosures in two to three years time by when it can be made mandatory.","2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,111,34,"Information about regulatory capital and its components is important in analysing the financial position of a bank, as well as information about equity capital. Information about the changes in the amount and types of capital, including the impact of earnings, dividends and capital issuances, is important in assessing the cushion available to absorb future potential losses and for the bank’s ability to sustain growth over the near term. Management’s discussion and analysis of a bank’s financial position and changes therein, help the market better understand and form expectations based on them.","In India information is being furnished on regulatory capital but details of risk weighted assets, leverage ratio, restrictions on distributions, including the impact on earnings, etc., are not being furnished uniformly.",91,31
2.2.7,"Information about the nature and amount of assets pledged as collateral, e.g., to support deposits, other liabilities and commitments, and the amount of secured liabilities is useful in assessing the financial position of a bank and, in particular, the collectibility of claims on the bank in case of its liquidation.",Banks in India do not accept collateralised deposits or any other such liabilities or commitments.,"Where there are occasions of the bank having availed of collateralised lines for managing their liquidity, the details should be provided.","2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,50,15,"Information about the nature and amount of assets pledged as collateral, e.g., to support deposits, other liabilities and commitments, and the amount of secured liabilities is useful in assessing the financial position of a bank and, in particular, the collectibility of claims on the bank in case of its liquidation.",Banks in India do not accept collateralised deposits or any other such liabilities or commitments.,50,15
2.2.8,"As with guidance on presentation and disclosure of financial performance, comprehensive accounting guidance on the presentation and disclosure of information about financial position is available in many countries. Authoritative guidance has been issued by legislators, regulators, and national and international accounting standard-setters.",Guidance on presentation of statement representing financial position (balance sheet) is prescribed by Section 29 of the Banking Regulation Act. Disclosure requirements are also being prescribed by the regulator from time to time.,"RBI may consider issuing comprehensive guidelines on necessary disclosures in a banks balance sheet. Since disclosures in India are still in an evolutionary stage and additional disclosures are being added to the disclosure requirements, it would also be desirable to update these guidelines from time to time until the Indian disclosures fully match international standards in this regard. Initially, updating of these guidelines may be undertaken at shorter, say, annual intervals. A coordinated approach between the ICAI and the RBI may be adopted for this purpose.","2.0 Details in disclosure 2.2 Financial Position (including capital, solvency and liquidity)",Enhancing Bank Transparency,42,33,"As with guidance on presentation and disclosure of financial performance, comprehensive accounting guidance on the presentation and disclosure of information about financial position is available in many countries. Authoritative guidance has been issued by legislators, regulators, and national and international accounting standard-setters.",Guidance on presentation of statement representing financial position is prescribed by Section 29 of the Banking Regulation Act. Disclosure requirements are also being prescribed by the regulator from time to time.,42,31
2.3.1,Market participants and supervisors need information about a bank’s management strategies and policies for managing and controlling risks. Risk management is a key factor in assessing the future performance and condition of a bank and the effectiveness of management.,Directors’ report or management report forming part of the annual report contain information on bank’s management strategies.,,2.0 Details in disclosure 2.3 Risk Management strategies and practices,Enhancing Bank Transparency,39,17,Market participants and supervisors need information about a bank’s management strategies and policies for managing and controlling risks. Risk management is a key factor in assessing the future performance and condition of a bank and the effectiveness of management.,Directors’ report or management report forming part of the annual report contain information on bank’s management strategies.,39,17
2.3.2,"Disclosures may include discussions of overall risk management philosophy, overall policy and methodologies, how risks arise, how risks are managed and controlled, and whether and how derivatives are used to manage risks. It may also be useful to discuss the risk management structure and risk measurement and monitoring (e.g., models, value-at-risk, simulation, credit scoring, capital allocation, etc.), monitoring process, model validation process, stress testing, back testing, the use of risk-mitigating tools (collateral/guarantees, netting agreements, managing concentrations), limits (e.g., credit limits, market risk limits), and periodic review of exposures.","Although risk management is a rather recent concept, bank managements are gearing themselves suitably to be in a position to furnish in their annual reports details of their risk management philosophy, strategies and methodologies.","More disclosures on risk management are essential. Banks will have to take steps so that even before they start making detailed analytical disclosures about their risk management arrangements, they begin disclosing details about risk mitigating tools being used by them, limits, exposure to banks, commercial and government entities, international exposures, subordinate assets, classification of exposures and information about types of counter-parties.",2.0 Details in disclosure 2.3 Risk Management strategies and practices,Enhancing Bank Transparency,88,34,"Disclosures may include discussions of overall risk management philosophy, overall policy and methodologies, how risks arise, how risks are managed and controlled, and whether and how derivatives are used to manage risks. It may also be useful to discuss the risk management structure and risk measurement and monitoring, monitoring process, model validation process, stress testing, back testing, the use of risk-mitigating tools, limits, and periodic review of exposures.","Although risk management is a rather recent concept, bank managements are gearing themselves suitably to be in a position to furnish in their annual reports details of their risk management philosophy, strategies and methodologies.",68,34
2.3.3,"In addition to overall risk management strategies, individual discussions of risk exposures need to include specific risk management strategies.",nan,,2.0 Details in disclosure 2.3 Risk Management strategies and practices,Enhancing Bank Transparency,19,1,"In addition to overall risk management strategies, individual discussions of risk exposures need to include specific risk management strategies.",nan,19,1
2.3.4,It is a particular challenge for a bank to maintain transparency as risk management methods advance. Banks should strive to continue to provide meaningful information so the public understands the risk management techniques and measures used over time.,nan,,2.0 Details in disclosure 2.3 Risk Management strategies and practices,Enhancing Bank Transparency,38,1,It is a particular challenge for a bank to maintain transparency as risk management methods advance. Banks should strive to continue to provide meaningful information so the public understands the risk management techniques and measures used over time.,nan,38,1
2.4.1,"Market participants and supervisors need qualitative and quantitative information about an institution’s risk exposures, including its strategies for managing risk and the effectiveness of those strategies. Together with the disclosure of a bank’s financial position, these help reflect its financial strength and viability and ultimately its ability to continue its business in times of stress.","RBI has issued detailed guidelines for implementation of Asset – Liability Management in banks and financial institutions. This was followed by a comprehensive set of guidelines on implementing an integrated risk management system in banks which includes credit risk, market risk and operational risks. Once ALM and Credit Risk Management become fully operational, banks in India will be in a position to measure and quantify various risks in addition to furnishing qualitative aspects of various risk exposures.",,2.0 Details in disclosure 2.4 Risk exposure,Enhancing Bank Transparency,55,77,"Market participants and supervisors need qualitative and quantitative information about an institution’s risk exposures, including its strategies for managing risk and the effectiveness of those strategies. Together with the disclosure of a bank’s financial position, these help reflect its financial strength and viability and ultimately its ability to continue its business in times of stress.","RBI has issued detailed guidelines for implementation of Asset – Liability Management in banks and financial institutions. This was followed by a comprehensive set of guidelines on implementing an integrated risk management system in banks which includes credit risk, market risk and operational risks. Once ALM and Credit Risk Management become fully operational, banks in India will be in a position to measure and quantify various risks in addition to furnishing qualitative aspects of various risk exposures.",55,77
2.4.2,"A bank’s risk profile, i.e., the risks inherent in its on- and off-balance- sheet activities at a point in time and its appetite for taking risk, provides information about the stability of an institution’s financial position and the sensitivity of its earnings potential to changes in market conditions.

Moreover, an understanding of the nature and extent of an institution’s risk exposures helps assess whether a bank’s returns are appropriate for the level of risk it has assumed.",nan,,2.0 Details in disclosure 2.4 Risk exposure,Enhancing Bank Transparency,77,1,"A bank’s risk profile, i.e., the risks inherent in its on- and off-balance- sheet activities at a point in time and its appetite for taking risk, provides information about the stability of an institution’s financial position and the sensitivity of its earnings potential to changes in market conditions.Moreover, an understanding of the nature and extent of an institution’s risk exposures helps assess whether a bank’s returns are appropriate for the level of risk it has assumed.",nan,76,1
2.4.3,"Disclosures of risk information assist in assessing the amount, timing and certainty of future cash flows. Given the dynamic financial markets in which banks operate, and the influences of increased global competition and technological innovation, a bank’s risk profile can change very quickly. Therefore, users of financial information need measures of risk exposures that remain meaningful over time and which accurately reflect sensitivities to changes in underlying market conditions.",nan,"Measures such as VaR and/or EaR, which sufficiently capture a bank’s risk exposure, should also be disclosed at least on a quarterly basis along with quarterly operating results. Banks should also be encouraged to develop their own risk models, which appropriately capture their risk profile. Details of the model as well as the assumptions constraining it and the process employed for validating the model should also constitute part of the disclosure framework.",2.0 Details in disclosure 2.4 Risk exposure,Enhancing Bank Transparency,69,1,"Disclosures of risk information assist in assessing the amount, timing and certainty of future cash flows. Given the dynamic financial markets in which banks operate, and the influences of increased global competition and technological innovation, a bank’s risk profile can change very quickly. Therefore, users of financial information need measures of risk exposures that remain meaningful over time and which accurately reflect sensitivities to changes in underlying market conditions.",nan,69,1
2.4.4,"Traditionally, banks have focused on disclosing information about credit risk and market risk, including interest rate and foreign exchange risk, and, to a lesser extent, liquidity risk. In discussing each of these risk areas, an institution should present sufficient qualitative (e.g., management strategies) and quantitative information (e.g., position data) to help users understand the nature and magnitude of these risk exposures. Further, comparative information of previous years’ data should be provided to give the financial statement user a perspective on trends in the underlying exposures.","Banks in India have already begun providing both qualitative (e.g., management strategies) and quantitative information (position data) in the balance sheet. Concept of comparative information of previous years has also been introduced.",Banks’ annual reports do provide these information.,2.0 Details in disclosure 2.4 Risk exposure,Enhancing Bank Transparency,85,32,"Traditionally, banks have focused on disclosing information about credit risk and market risk, including interest rate and foreign exchange risk, and, to a lesser extent, liquidity risk. In discussing each of these risk areas, an institution should present sufficient qualitative and quantitative information to help users understand the nature and magnitude of these risk exposures. Further, comparative information of previous years’ data should be provided to give the financial statement user a perspective on trends in the underlying exposures.",Banks in India have already begun providing both qualitative and quantitative information in the balance sheet. Concept of comparative information of previous years has also been introduced.,79,27
2.4.5,"Other risk exposures such as operational, legal and strategic risk are less easy to quantify, but may be highly relevant. Qualitative information should be given about the nature of the risks and how they are managed.",Notes on account on the balance sheet contain details on legal risk. Other risks have so far not been forming part of the disclosures in the balance sheet.,"A discussion on legal, operational and strategic risks may be made mandatory in the Management letter/ Director’s report to the share holders.",2.0 Details in disclosure 2.4 Risk exposure,Enhancing Bank Transparency,36,28,"Other risk exposures such as operational, legal and strategic risk are less easy to quantify, but may be highly relevant. Qualitative information should be given about the nature of the risks and how they are managed.",Notes on account on the balance sheet contain details on legal risk. Other risks have so far not been forming part of the disclosures in the balance sheet.,36,28
2.4.6.1,"Disclosures should help the reader understand the magnitude of an institution’s credit exposure on an aggregate basis as well as its significant components. Further, the user of financial information should be able to understand how an institution manages credit risk and whether or not those strategies have been effective.","Credit related disclosures in the bank’s balance sheet are presumably limited to details of NPAs, provisions for loan losses and lending to some sectors which are considered sensitive.","At item 2.3.2, it was suggested that risk mitigating tools, limits, concentrations and exposures be disclosed. RBI may consider issuing some guidelines in this regard. It should be possible for some banks to make these disclosures about credit risk management in their balance sheet without much difficulty.",2.0 Details in disclosure 2.4.6 Credit risk,Enhancing Bank Transparency,49,28,"Disclosures should help the reader understand the magnitude of an institution’s credit exposure on an aggregate basis as well as its significant components. Further, the user of financial information should be able to understand how an institution manages credit risk and whether or not those strategies have been effective.","Credit related disclosures in the bank’s balance sheet are presumably limited to details of NPAs, provisions for loan losses and lending to some sectors which are considered sensitive.",49,28
2.4.6.2,"To achieve transparency, an institution should provide descriptive information about the business activities that create credit risk, its strategies regarding those business lines, and the nature and composition of the exposures that arise. Examples of useful disclosures include a discussion about business strategies, risk management processes and internal controls relating to activities that generate credit risk.","Business activities that create credit risks are not being separately identified. Quantitative information regarding gross positions, e.g., loans, investments and off-balance sheet exposures are given. We need to ensure that we begin with disclosures, which are of greater relevance in our context including those which are sophisticated and have relevance in more complex situations.",We should follow a gradual process of disclosure on risk so that key elements remain in focus. Suggestions in this regard have been given while examining earlier items. The proposed guidelines to be issued by RBI will be able to take care of this phasing.,2.0 Details in disclosure 2.4.6 Credit risk,Enhancing Bank Transparency,56,54,"To achieve transparency, an institution should provide descriptive information about the business activities that create credit risk, its strategies regarding those business lines, and the nature and composition of the exposures that arise. Examples of useful disclosures include a discussion about business strategies, risk management processes and internal controls relating to activities that generate credit risk.","Business activities that create credit risks are not being separately identified. Quantitative information regarding gross positions, e.g., loans, investments and off-balance sheet exposures are given. We need to ensure that we begin with disclosures, which are of greater relevance in our context including those which are sophisticated and have relevance in more complex situations.",56,54
2.4.6.3,"In addition, quantitative information should be provided regarding gross positions (e.g., loans, investments, trading and off-balance-sheet exposures), information about the types of counterparties (e.g., exposure to banks, commercial, and government entities; domestic and international exposures; subordinate assets, and secured and unsecured exposures), and significant concentrations of credit exposure. Further, information on potential credit risk exposure arising from existing derivative contracts is useful, since that exposure may change rapidly and substantially.",nan,,2.0 Details in disclosure 2.4.6 Credit risk,Enhancing Bank Transparency,70,1,"In addition, quantitative information should be provided regarding gross positions, information about the types of counterparties, and significant concentrations of credit exposure. Further, information on potential credit risk exposure arising from existing derivative contracts is useful, since that exposure may change rapidly and substantially.",nan,44,1
